




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.15066566 Released 2025-03-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21836)	upload_1 (37)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of cell population proliferation (GO:0008285)	747	8	1.27	+	6.32	2.89E-05	5.01E-03
negative regulation of immune system process (GO:0002683)	575	6	.97	+	6.16	3.77E-04	3.96E-02
regulation of response to stress (GO:0080134)	1483	15	2.51	+	5.97	6.33E-09	3.71E-06
regulation of immune system process (GO:0002682)	1733	17	2.94	+	5.79	6.23E-10	5.59E-07
immune response (GO:0006955)	1757	17	2.98	+	5.71	7.71E-10	6.19E-07
defense response to other organism (GO:0098542)	1137	11	1.93	+	5.71	1.78E-06	4.10E-04
response to other organism (GO:0051707)	1560	15	2.64	+	5.67	1.26E-08	6.18E-06
response to external biotic stimulus (GO:0043207)	1564	15	2.65	+	5.66	1.30E-08	6.20E-06
immune system process (GO:0002376)	2529	24	4.29	+	5.60	2.41E-14	1.22E-10
response to bacterium (GO:0009617)	847	8	1.44	+	5.57	7.04E-05	1.05E-02
response to biotic stimulus (GO:0009607)	1606	15	2.72	+	5.51	1.86E-08	7.87E-06
biological process involved in interspecies interaction between organisms (GO:0044419)	1699	15	2.88	+	5.21	3.95E-08	1.54E-05
defense response (GO:0006952)	1563	13	2.65	+	4.91	8.62E-07	2.27E-04
regulation of cytokine production (GO:0001817)	853	7	1.45	+	4.84	5.00E-04	4.98E-02
positive regulation of cell differentiation (GO:0045597)	1003	8	1.70	+	4.71	2.26E-04	2.62E-02
negative regulation of multicellular organismal process (GO:0051241)	1257	10	2.13	+	4.70	3.22E-05	5.51E-03
circulatory system development (GO:0072359)	1048	8	1.78	+	4.51	3.05E-04	3.37E-02
response to external stimulus (GO:0009605)	2102	16	3.56	+	4.49	9.24E-08	3.20E-05
positive regulation of multicellular organismal process (GO:0051240)	1897	14	3.21	+	4.36	1.19E-06	2.88E-04
protein-containing complex assembly (GO:0065003)	1225	9	2.08	+	4.34	1.59E-04	2.06E-02
regulation of phosphate metabolic process (GO:0019220)	1115	8	1.89	+	4.23	4.62E-04	4.80E-02
regulation of phosphorus metabolic process (GO:0051174)	1117	8	1.89	+	4.23	4.68E-04	4.82E-02
positive regulation of response to stimulus (GO:0048584)	2432	17	4.12	+	4.13	1.05E-07	3.54E-05
regulation of cell population proliferation (GO:0042127)	1751	12	2.97	+	4.04	1.89E-05	3.52E-03
protein-containing complex organization (GO:0043933)	1374	9	2.33	+	3.87	3.76E-04	3.98E-02
regulation of response to stimulus (GO:0048583)	4222	25	7.15	+	3.49	2.17E-10	2.37E-07
regulation of multicellular organismal process (GO:0051239)	3265	19	5.53	+	3.43	2.29E-07	6.86E-05
response to stress (GO:0006950)	3596	19	6.09	+	3.12	1.07E-06	2.76E-04
negative regulation of metabolic process (GO:0009892)	2923	14	4.95	+	2.83	1.70E-04	2.18E-02
positive regulation of biological process (GO:0048518)	6431	26	10.90	+	2.39	3.39E-07	9.76E-05
negative regulation of cellular process (GO:0048523)	5298	21	8.98	+	2.34	2.32E-05	4.17E-03
positive regulation of cellular process (GO:0048522)	6128	24	10.38	+	2.31	3.42E-06	7.56E-04
negative regulation of biological process (GO:0048519)	5537	21	9.38	+	2.24	6.72E-05	1.01E-02
response to stimulus (GO:0050896)	9230	28	15.64	+	1.79	7.07E-05	1.05E-02
regulation of cellular process (GO:0050794)	12004	34	20.34	+	1.67	1.33E-06	3.18E-04
regulation of biological process (GO:0050789)	12387	35	20.99	+	1.67	3.82E-07	1.06E-04
biological regulation (GO:0065007)	12819	35	21.72	+	1.61	1.83E-06	4.16E-04
