




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.15066566 Released 2025-03-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21836)	upload_1 (29)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of biosynthetic process (GO:0009891)	2789	13	3.70	+	3.51	2.16E-05	1.13E-02
regulation of DNA-templated transcription (GO:0006355)	3345	15	4.44	+	3.38	5.27E-06	4.73E-03
regulation of RNA biosynthetic process (GO:2001141)	3354	15	4.45	+	3.37	5.46E-06	4.62E-03
positive regulation of macromolecule metabolic process (GO:0010604)	3386	15	4.50	+	3.34	6.15E-06	4.94E-03
gene expression (GO:0010467)	2715	12	3.61	+	3.33	8.93E-05	2.57E-02
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3921	17	5.21	+	3.26	1.16E-06	4.41E-03
regulation of RNA metabolic process (GO:0051252)	3617	15	4.80	+	3.12	1.41E-05	8.97E-03
positive regulation of metabolic process (GO:0009893)	3717	15	4.94	+	3.04	1.98E-05	1.12E-02
regulation of gene expression (GO:0010468)	4940	19	6.56	+	2.90	9.61E-07	4.89E-03
regulation of macromolecule biosynthetic process (GO:0010556)	5056	19	6.71	+	2.83	1.40E-06	4.28E-03
response to chemical (GO:0042221)	4053	15	5.38	+	2.79	5.73E-05	1.86E-02
regulation of biosynthetic process (GO:0009889)	5265	19	6.99	+	2.72	2.70E-06	4.57E-03
regulation of primary metabolic process (GO:0080090)	5439	19	7.22	+	2.63	4.55E-06	4.62E-03
regulation of macromolecule metabolic process (GO:0060255)	5938	20	7.89	+	2.54	3.28E-06	4.55E-03
positive regulation of cellular process (GO:0048522)	6128	19	8.14	+	2.33	2.96E-05	1.25E-02
regulation of metabolic process (GO:0019222)	6457	20	8.58	+	2.33	1.33E-05	8.84E-03
positive regulation of biological process (GO:0048518)	6431	19	8.54	+	2.22	1.02E-04	2.83E-02
